,foil,isotope,fit,cov
0,Ta01,179W,0.0,0.0
1,Ta02,179W,27211714.096606176,1346773234186769.5
2,Ta03,179W,3365429.3634064076,2991165500847.764
3,Ta04,179W,5014812.872948836,1816470563648.061
4,Ta05,179W,6456392.206400405,4593977384014.615
5,Ta06,179W,12213852.339582346,3528883698169.0825
6,Ta07,179W,27748838.88012667,36933041709462.73
7,Ta08,179W,26720250.395099286,56065144656420.53
8,Ta09,179W,36850652.794724524,33581208691820.863
9,Ta10,179W,36896148.54855632,127479908219516.69
10,Ta11,179W,12734719.2869473,308386169132.87933
11,Ta12,179W,1772459.859932446,2930942693212.4604
12,Ta13,179W,2478.269294828932,16111165.129186688
13,Ta14,179W,1000000.0,0.0
